Timestamp start (Europe/Brussels),Timestamp end (Europe/Brussels),Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh),dtbe,dtutc
02/01/2024 06:30,02/01/2024 06:45,13.35,2024-01-02 06:30:00+01:00,2024-01-02 05:30:00+00:00
02/01/2024 06:45,02/01/2024 07:00,13.35,2024-01-02 06:45:00+01:00,2024-01-02 05:45:00+00:00
02/01/2024 07:00,02/01/2024 07:15,37.75,2024-01-02 07:00:00+01:00,2024-01-02 06:00:00+00:00
02/01/2024 07:15,02/01/2024 07:30,37.75,2024-01-02 07:15:00+01:00,2024-01-02 06:15:00+00:00
02/01/2024 07:30,02/01/2024 07:45,37.75,2024-01-02 07:30:00+01:00,2024-01-02 06:30:00+00:00
02/01/2024 07:45,02/01/2024 08:00,37.75,2024-01-02 07:45:00+01:00,2024-01-02 06:45:00+00:00
02/01/2024 08:00,02/01/2024 08:15,61.58,2024-01-02 08:00:00+01:00,2024-01-02 07:00:00+00:00
02/01/2024 08:15,02/01/2024 08:30,61.58,2024-01-02 08:15:00+01:00,2024-01-02 07:15:00+00:00
02/01/2024 08:30,02/01/2024 08:45,61.58,2024-01-02 08:30:00+01:00,2024-01-02 07:30:00+00:00
02/01/2024 08:45,02/01/2024 09:00,61.58,2024-01-02 08:45:00+01:00,2024-01-02 07:45:00+00:00
02/01/2024 09:00,02/01/2024 09:15,71.54,2024-01-02 09:00:00+01:00,2024-01-02 08:00:00+00:00
02/01/2024 09:15,02/01/2024 09:30,71.54,2024-01-02 09:15:00+01:00,2024-01-02 08:15:00+00:00
02/01/2024 09:30,02/01/2024 09:45,71.54,2024-01-02 09:30:00+01:00,2024-01-02 08:30:00+00:00
02/01/2024 09:45,02/01/2024 10:00,71.54,2024-01-02 09:45:00+01:00,2024-01-02 08:45:00+00:00
02/01/2024 10:00,02/01/2024 10:15,77.37,2024-01-02 10:00:00+01:00,2024-01-02 09:00:00+00:00
02/01/2024 10:15,02/01/2024 10:30,77.37,2024-01-02 10:15:00+01:00,2024-01-02 09:15:00+00:00
