4hour_block,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_block_volatility,day_of_week,is_weekend,hour_block
2024-08-14 16:00:00+00:00,27514.0,27831.0,26972.0,859.0,374.34654176756277,96.195,102.36,87.0,15.36,6.521439002755959,,15.36,0.06779394981813983,1635.310625,3881.61,5.665,3875.945,1736.0575303499868,4112.383125,4998.91,3432.4300000000003,1566.4799999999996,683.3392552488568,6.521439002755959,2,0,4
2024-08-14 20:00:00+00:00,21108.5,24456.5,18602.5,5854.0,2560.4473567458217,74.64,91.15,56.26,34.89000000000001,14.648710978558263,,34.89000000000001,0.19625818567200248,0.0,0.0,0.0,0.0,0.0,6203.389375,6661.2125,5714.2375,946.9749999999995,402.0384565113917,14.648710978558263,2,0,5
2024-08-15 00:00:00+00:00,17554.75,18153.0,17039.5,1113.5,502.88211010799205,34.3825,45.91,28.02,17.889999999999997,8.243645532570321,,17.889999999999997,0.23976283087530934,0.0,0.0,0.0,0.0,0.0,7293.135625,7616.7,6913.07,703.6300000000001,306.6659505768926,8.243645532570321,3,0,0
2024-08-15 04:00:00+00:00,23031.25,24807.0,20245.0,4562.0,2070.1668813568313,59.8725,73.07,36.68,36.38999999999999,17.079391821724798,,36.38999999999999,0.28526271362854067,957.8125,2483.8175,0.4775,2483.34,1127.49300780537,7926.643749999999,8277.99,7733.915,544.0749999999998,252.17980299695492,17.079391821724798,3,0,1
2024-08-15 08:00:00+00:00,23347.25,23762.5,22858.0,904.5,391.70109777737366,60.135,68.61,54.56,14.049999999999997,6.184801263312077,,14.049999999999997,0.10284861167892372,4556.020625,5147.15,3645.0825,1502.0674999999997,673.2217079844963,9827.63625,10927.255,8725.685,2201.5699999999997,952.1458477423067,6.184801263312077,3,0,2
2024-08-15 12:00:00+00:00,24123.75,26275.0,22625.0,3650.0,1605.9064159117945,52.805,63.69,47.09,16.599999999999994,7.480839970662829,,16.599999999999994,0.14166915956183748,4264.251875,5104.755,3083.5375,2021.2175000000002,898.3416547713883,11298.964375,11357.0275,11148.41,208.6175000000003,100.8604229941689,7.480839970662829,3,0,3
2024-08-15 16:00:00+00:00,27096.625,27560.5,26296.5,1264.0,569.2949404014286,89.91499999999999,95.1,80.28,14.819999999999993,6.676039244941559,,14.819999999999993,0.07424833726232069,859.748125,2063.8575,20.2825,2043.575,912.8122814923281,9165.62875,10399.7075,8006.07,2393.6375000000007,1029.771795752381,6.676039244941559,3,0,4
2024-08-15 20:00:00+00:00,21482.875,23967.0,19766.5,4200.5,1856.069385152398,75.16250000000001,89.18,62.17,27.010000000000005,11.695832234888918,,27.010000000000005,0.15560728069035645,0.0,0.0,0.0,0.0,0.0,7298.485625,7413.72,6978.9525,434.7674999999999,213.14442896166864,11.695832234888918,3,0,5
2024-08-16 00:00:00+00:00,18785.0,19247.0,18552.0,695.0,319.35664493895644,54.0,57.51,51.17,6.339999999999996,2.6309060543217138,,6.339999999999996,0.04872048248743918,0.0,0.0,0.0,0.0,0.0,5898.18875,6607.12,5228.1325,1378.9875000000002,599.3534114933776,2.6309060543217138,4,0,0
2024-08-16 04:00:00+00:00,23309.0,24376.0,21250.0,3126.0,1406.088190690755,77.685,84.65,63.51,21.140000000000008,9.896054769452316,,21.140000000000008,0.12738694431939654,1324.846875,3476.3725,1.035,3475.3375,1580.1094816398736,4345.684375,4804.595,4080.2725,724.3225000000002,334.71112174265977,9.896054769452316,4,0,1
2024-08-16 08:00:00+00:00,21100.375,22661.0,19693.0,2968.0,1313.5795480924126,51.964999999999996,76.21,30.51,45.69999999999999,20.057493196641822,,45.69999999999999,0.38598081779355004,7805.878124999999,9367.785,5608.3225,3759.4624999999996,1658.0684036834032,4471.5912499999995,4738.06,4184.6425,553.4175000000005,239.5032542445933,20.057493196641822,4,0,2
2024-08-16 12:00:00+00:00,21009.125,23596.5,19509.5,4087.0,1853.4333624834383,25.247500000000002,41.03,17.89,23.14,10.62635834454432,,23.14,0.4208875470658211,8139.034375,9494.5525,6217.2575,3277.295,1455.0905075936216,5123.3075,5361.9975,4899.5175,462.4800000000005,202.33397557215505,10.62635834454432,4,0,3
2024-08-16 16:00:00+00:00,25666.25,25986.0,25307.5,678.5,303.78295431661957,87.2975,95.91,71.38,24.53,11.016355643617658,,24.53,0.12619325460199504,1749.389375,4250.7025,6.6075,4244.095,1908.5629635991565,5680.625625000001,5912.09,5506.2775,405.8125,171.4563505115197,11.016355643617658,4,0,4
