dtutc,dcl_price
2024-06-22 02:00:00+00:00,1.0
2024-06-22 06:00:00+00:00,1.97
2024-06-22 10:00:00+00:00,1.28
2024-06-22 14:00:00+00:00,1.52
2024-06-22 18:00:00+00:00,2.24
2024-06-22 22:00:00+00:00,1.25
2024-06-23 02:00:00+00:00,1.28
2024-06-23 06:00:00+00:00,1.5
2024-06-23 10:00:00+00:00,1.5
2024-06-23 14:00:00+00:00,1.81
2024-06-23 18:00:00+00:00,2.41
2024-06-23 22:00:00+00:00,0.6
2024-06-24 02:00:00+00:00,1.25
2024-06-24 06:00:00+00:00,1.56
2024-06-24 10:00:00+00:00,0.94
2024-06-24 14:00:00+00:00,1.68
2024-06-24 18:00:00+00:00,2.36
2024-06-24 22:00:00+00:00,1.05
2024-06-25 02:00:00+00:00,1.0
2024-06-25 06:00:00+00:00,1.5
2024-06-25 10:00:00+00:00,1.16
2024-06-25 14:00:00+00:00,2.29
2024-06-25 18:00:00+00:00,2.48
2024-06-25 22:00:00+00:00,1.06
2024-06-26 02:00:00+00:00,1.3
2024-06-26 06:00:00+00:00,1.58
2024-06-26 10:00:00+00:00,0.5
2024-06-26 14:00:00+00:00,1.51
2024-06-26 18:00:00+00:00,2.84
2024-06-26 22:00:00+00:00,0.75
2024-06-27 02:00:00+00:00,0.75
2024-06-27 06:00:00+00:00,4.0
2024-06-27 10:00:00+00:00,1.5
2024-06-27 14:00:00+00:00,2.53
2024-06-27 18:00:00+00:00,3.39
2024-06-27 22:00:00+00:00,1.77
2024-06-28 02:00:00+00:00,2.61
2024-06-28 06:00:00+00:00,4.29
2024-06-28 10:00:00+00:00,0.75
2024-06-28 14:00:00+00:00,2.94
2024-06-28 18:00:00+00:00,6.0
2024-06-28 22:00:00+00:00,1.0
2024-06-29 02:00:00+00:00,0.75
2024-06-29 06:00:00+00:00,1.31
2024-06-29 10:00:00+00:00,1.0
2024-06-29 14:00:00+00:00,1.61
2024-06-29 18:00:00+00:00,2.38
2024-06-29 22:00:00+00:00,0.7
2024-06-30 02:00:00+00:00,1.6
2024-06-30 06:00:00+00:00,1.18
2024-06-30 10:00:00+00:00,0.53
2024-06-30 14:00:00+00:00,1.54
2024-06-30 18:00:00+00:00,2.0
2024-06-30 22:00:00+00:00,0.72
2024-07-01 02:00:00+00:00,0.96
2024-07-01 06:00:00+00:00,2.19
2024-07-01 10:00:00+00:00,1.2
2024-07-01 14:00:00+00:00,1.55
2024-07-01 18:00:00+00:00,1.65
2024-07-01 22:00:00+00:00,1.09
2024-07-02 02:00:00+00:00,1.32
2024-07-02 06:00:00+00:00,1.39
2024-07-02 10:00:00+00:00,0.77
2024-07-02 14:00:00+00:00,2.0
2024-07-02 18:00:00+00:00,1.9
2024-07-02 22:00:00+00:00,0.5
2024-07-03 02:00:00+00:00,0.68
2024-07-03 06:00:00+00:00,3.0
2024-07-03 10:00:00+00:00,0.51
2024-07-03 14:00:00+00:00,1.33
2024-07-03 18:00:00+00:00,1.36
2024-07-03 22:00:00+00:00,1.25
2024-07-04 02:00:00+00:00,0.55
